date,temperature_2m,dew_point_2m,precipitation,pressure_msl,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_speed_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
2010-01-03 10:00:00,16.9475,6.3475,0.0,1022.0,100.0,0.0,0.0,13.276144,17.610588,30.960001,19.6475,19.2975,0.066,0.071
2010-01-03 11:00:00,17.3975,6.6475,0.0,1021.8,100.0,0.0,0.0,13.783817,18.668005,32.399998,20.6975,19.3475,0.066,0.071
2010-01-03 12:00:00,18.0975,6.8475,0.0,1021.4,100.0,0.0,0.0,14.113652,18.723461,33.12,22.1475,19.4475,0.066,0.071
2010-01-03 13:00:00,18.5475,7.1475,0.0,1021.2,100.0,0.0,0.0,13.979872,18.374111,33.12,23.3475,19.5975,0.066,0.071
2010-01-03 14:00:00,18.9975,7.4975,0.0,1021.0,100.0,0.0,0.0,13.779114,17.974781,34.2,24.6975,19.7475,0.065,0.071
2010-01-03 15:00:00,19.2975,7.6974998,0.0,1020.7,100.0,0.0,0.0,13.397612,17.287498,34.56,25.5975,19.9475,0.065,0.071
2010-01-03 16:00:00,18.9475,7.8475,0.0,1020.2,100.0,0.0,0.0,12.904882,16.923828,34.2,25.1975,20.0975,0.065,0.071
2010-01-03 17:00:00,18.1975,8.1975,0.0,1020.0,98.0,0.0,0.0,12.72283,16.267857,31.68,23.9975,20.1975,0.065,0.071
2010-01-03 18:00:00,17.7475,8.1975,0.0,1020.0,85.0,0.0,0.0,12.313893,16.327497,29.88,22.8475,20.2975,0.065,0.071
2010-01-03 19:00:00,17.1475,8.1475,0.0,1020.0,5.0,0.0,0.0,12.324414,16.62249,28.44,21.4475,20.2975,0.065,0.071
2010-01-03 20:00:00,16.1975,8.1975,0.0,1020.5,1.0,0.0,0.0,8.825508,14.264361,26.64,19.5475,20.2475,0.065,0.071
2010-01-03 21:00:00,15.3475,8.3475,0.0,1020.2,0.0,0.0,0.0,6.519877,13.698934,18.0,17.9475,20.1975,0.064,0.071
2010-01-03 22:00:00,14.6475,8.5475,0.0,1020.1,0.0,0.0,0.0,5.8048253,12.7279215,12.599999,16.7475,20.0475,0.064,0.071
2010-01-03 23:00:00,13.8475,8.6975,0.0,1020.2,0.0,0.0,0.0,7.24486,11.440979,11.5199995,15.747499,19.8975,0.064,0.071
2010-01-04 00:00:00,12.8975,8.8475,0.0,1019.6,0.0,0.0,0.0,6.9153743,10.195057,11.5199995,14.7975,19.7475,0.064,0.071
2010-01-04 01:00:00,11.7975,8.8975,0.0,1019.2,0.0,0.0,0.0,6.6185193,9.793059,11.159999,13.7975,19.4975,0.064,0.071
2010-01-04 02:00:00,10.9475,8.8975,0.0,1018.8,0.0,0.0,0.0,6.849467,9.565437,11.159999,12.997499,19.2975,0.064,0.071
2010-01-04 03:00:00,10.2975,8.6975,0.0,1018.5,0.0,0.0,0.0,7.172949,10.446206,11.159999,12.2975,19.0475,0.064,0.071
2010-01-04 04:00:00,9.747499,8.3475,0.0,1018.5,0.0,0.0,0.0,6.439876,13.009903,11.5199995,11.6475,18.8475,0.064,0.071
2010-01-04 05:00:00,9.3975,7.9975,0.0,1018.4,0.0,0.0,10.0,6.989936,16.42247,12.599999,11.0975,18.5475,0.064,0.071
2010-01-04 06:00:00,9.5475,8.247499,0.0,1018.5,0.0,0.0,43.0,8.209263,18.472595,13.32,11.0975,18.3475,0.064,0.071
2010-01-04 07:00:00,12.1975,9.1475,0.0,1018.8,0.0,0.0,25.0,7.127636,14.565548,16.919998,12.8975,18.1475,0.064,0.071
2010-01-04 08:00:00,15.7975,8.997499,0.0,1018.8,0.0,0.0,10.0,5.6233797,8.161764,18.359999,17.0475,18.1475,0.064,0.071
2010-01-04 09:00:00,18.2475,8.747499,0.0,1018.2,0.0,0.0,23.0,4.802999,6.28713,20.519999,20.5975,18.2475,0.064,0.071
