id,dataset,rmse,mape
AUS_SA_day_0,AUS,241.7803394397751,7.789644008618328
AUS_SA_day_1,AUS,341.6477154522255,18.569293971367394
AUS_SA_day_2,AUS,86.16233596462338,5.728091775351006
AUS_SA_day_3,AUS,30.030544376901872,2.0656874700138195
AUS_SA_day_4,AUS,45.81300287368985,2.276032864500108
AUS_SA_day_5,AUS,263.8010442176205,17.535655354884227
AUS_SA_day_6,AUS,113.60147327590715,9.062909854427621
AUS_SA_day_7,AUS,122.6260612808881,7.010252414986418
AUS_SA_day_8,AUS,33.15331533519502,1.9203772361187823
AUS_SA_day_9,AUS,49.284791653461205,2.4786328101613826
AUS_SA_day_10,AUS,456.27639652666204,17.176507315620796
AUS_SA_day_11,AUS,100.44193796030424,4.539249114161131
AUS_SA_day_12,AUS,41.445616041512636,3.05837810291394
AUS_SA_day_13,AUS,60.51803616039277,3.858018156950322
AUS_SA_day_14,AUS,71.27911068458228,3.604359702684724
AUS_SA_day_15,AUS,184.75698157602648,10.641033652294379
AUS_SA_day_16,AUS,128.00272173788727,6.117865499555775
AUS_SA_day_17,AUS,138.735602307971,6.881754344085758
AUS_SA_day_18,AUS,137.718730657619,7.274164533787599
AUS_SA_day_19,AUS,192.57996846870176,8.50696594407311
AUS_SA_day_20,AUS,81.5180921560812,4.831280716003078
AUS_SA_day_21,AUS,61.76638941664098,3.040821989440129
AUS_SA_day_22,AUS,189.98834798964774,8.506736406498622
AUS_SA_day_23,AUS,39.54910865374358,1.9540182267168522
AUS_SA_day_24,AUS,74.09984678348872,3.740144644528345
AUS_SA_day_25,AUS,73.16744784205233,4.4829395908358185
AUS_SA_day_26,AUS,170.30269339735895,11.55969347666872
AUS_SA_day_27,AUS,189.68066368542233,10.166418893304625
AUS_SA_day_28,AUS,399.82576390750273,15.148575378678261
AUS_SA_day_29,AUS,77.43426615045489,3.0186396694726354
AUS_SA_day_30,AUS,98.60764972754282,3.6256821280016025
AUS_SA_day_31,AUS,265.3869316056679,11.18580152813966
AUS_SA_day_32,AUS,120.26012809907805,7.029239078685406
AUS_SA_day_33,AUS,78.09932225840289,5.173359350715049
AUS_SA_day_34,AUS,91.60006028831279,6.94870949991952
AUS_SA_day_35,AUS,118.6656243506364,5.66892351449562
AUS_SA_day_36,AUS,160.61140161340404,6.158923345933115
AUS_SA_day_37,AUS,118.91704263502909,5.998583303407359
AUS_SA_day_38,AUS,83.8746885060755,3.3798065422265524
AUS_SA_day_39,AUS,33.39835993134953,1.584192734840662
AUS_SA_day_40,AUS,123.99523873231112,6.178395578750876
AUS_SA_day_41,AUS,57.865038652220505,3.553705577509577
AUS_SA_day_42,AUS,81.9016044261434,4.708822121087116
AUS_SA_day_43,AUS,133.0197619621776,6.059543937145893
AUS_SA_day_44,AUS,27.05341500628567,1.4459932448664272
AUS_SA_day_45,AUS,28.756696257297058,1.452756450486422
AUS_SA_day_46,AUS,62.34357085599968,2.119255148045547
AUS_SA_day_47,AUS,98.83721226658909,5.548158492511084
AUS_SA_day_48,AUS,138.66953363270528,10.108695584935484
AUS_SA_day_49,AUS,68.12848997175202,4.161702680818839
AUS_SA_day_50,AUS,30.282218220506792,1.7239783918706497
AUS_SA_day_51,AUS,51.37854250300475,3.128146919607829
AUS_SA_day_52,AUS,56.413189089315615,2.566355395680216
AUS_SA_day_53,AUS,90.9805688821236,4.831682476575655
AUS_SA_day_54,AUS,57.46483169913903,3.187210071270018
AUS_SA_day_55,AUS,35.120708352657,2.7496771230694477
AUS_SA_day_56,AUS,142.59049879632127,12.410200181178377
AUS_SA_day_57,AUS,160.17654312370513,9.179528611812984
AUS_SA_day_58,AUS,31.610854486161283,2.0740714099168183
AUS_SA_day_59,AUS,27.514939165687505,1.9033145238138445
AUS_SA_day_60,AUS,56.16346942693684,3.183762027251765
AUS_SA_day_61,AUS,111.9703457250961,6.280496491815389
AUS_SA_day_62,AUS,49.09408015539246,3.2371498959137464
AUS_SA_day_63,AUS,317.48791111016294,14.122753453411843
AUS_SA_day_64,AUS,154.58829874096918,7.40082638216129
AUS_SA_day_65,AUS,94.19655149592361,4.445209227940586
AUS_SA_day_66,AUS,72.7849980056069,3.1290080308758648
AUS_SA_day_67,AUS,108.18351681398678,5.202186179312556
AUS_SA_day_68,AUS,44.28149503983232,2.6550786059445106
