stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Oracle Weather Search,M512,h0_w0_none_ws_temperature_2m,"('temperature_2m',)","('temperature_2m',)",5.429971392907881,91.52895599341652,1
Calendar + Oracle Weather Search,M513,h0_w0_integer_ws_temperature_2m,"('dow', 'temperature_2m')","('dow', 'temperature_2m')",5.579844696202333,91.37684378192309,2
Calendar + Oracle Weather Search,M514,h0_w0_one_hot_ws_temperature_2m,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",5.772086632510392,98.01046978480147,8
Calendar + Oracle Weather Search,M515,h0_w0_cyclic_ws_temperature_2m,"('dow_sin', 'dow_cos', 'temperature_2m')","('dow_sin', 'dow_cos', 'temperature_2m')",5.692006125490867,94.9889274187353,3
Calendar + Oracle Weather Search,M516,h0_w1_none_ws_temperature_2m,"('weekend', 'temperature_2m')","('weekend', 'temperature_2m')",5.023912584240599,84.48536579972681,2
Calendar + Oracle Weather Search,M517,h0_w1_integer_ws_temperature_2m,"('weekend', 'dow', 'temperature_2m')","('weekend', 'dow', 'temperature_2m')",5.253607425574948,87.25550136478115,3
Calendar + Oracle Weather Search,M518,h0_w1_one_hot_ws_temperature_2m,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",5.665118778871762,96.33682915351106,9
Calendar + Oracle Weather Search,M519,h0_w1_cyclic_ws_temperature_2m,"('weekend', 'dow_sin', 'dow_cos', 'temperature_2m')","('weekend', 'dow_sin', 'dow_cos', 'temperature_2m')",5.329151648208496,89.40194032880802,4
Calendar + Oracle Weather Search,M520,h1_w0_none_ws_temperature_2m,"('holiday', 'temperature_2m')","('holiday', 'temperature_2m')",5.2440415698356535,88.54742984315762,2
Calendar + Oracle Weather Search,M521,h1_w0_integer_ws_temperature_2m,"('holiday', 'dow', 'temperature_2m')","('holiday', 'dow', 'temperature_2m')",5.260799708531381,87.79070313036055,3
Calendar + Oracle Weather Search,M522,h1_w0_one_hot_ws_temperature_2m,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",5.7342824335242035,97.48003177991909,9
Calendar + Oracle Weather Search,M523,h1_w0_cyclic_ws_temperature_2m,"('holiday', 'dow_sin', 'dow_cos', 'temperature_2m')","('holiday', 'dow_sin', 'dow_cos', 'temperature_2m')",5.500243327316305,92.17285295217727,4
Calendar + Oracle Weather Search,M524,h1_w1_none_ws_temperature_2m,"('holiday', 'weekend', 'temperature_2m')","('holiday', 'weekend', 'temperature_2m')",4.8972819998915496,82.90015425353772,3
Calendar + Oracle Weather Search,M525,h1_w1_integer_ws_temperature_2m,"('holiday', 'weekend', 'dow', 'temperature_2m')","('holiday', 'weekend', 'dow', 'temperature_2m')",5.048993586168313,84.65193221920153,4
Calendar + Oracle Weather Search,M526,h1_w1_one_hot_ws_temperature_2m,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",5.625029729664322,95.82635366069803,10
Calendar + Oracle Weather Search,M527,h1_w1_cyclic_ws_temperature_2m,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m')",5.173623598578881,87.01962947387588,5
Calendar + Oracle Weather Search,M528,h0_w0_none_ws_dew_point_2m,"('dew_point_2m',)","('dew_point_2m',)",6.656531779949725,111.51299395460872,1
Calendar + Oracle Weather Search,M529,h0_w0_integer_ws_dew_point_2m,"('dow', 'dew_point_2m')","('dow', 'dew_point_2m')",6.80657010865032,112.57206829847966,2
Calendar + Oracle Weather Search,M530,h0_w0_one_hot_ws_dew_point_2m,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')",6.896150478148947,116.45992137137641,8
Calendar + Oracle Weather Search,M531,h0_w0_cyclic_ws_dew_point_2m,"('dow_sin', 'dow_cos', 'dew_point_2m')","('dow_sin', 'dow_cos', 'dew_point_2m')",6.8619506499617975,115.01745886740093,3
Calendar + Oracle Weather Search,M532,h0_w1_none_ws_dew_point_2m,"('weekend', 'dew_point_2m')","('weekend', 'dew_point_2m')",6.3605601838643775,107.59212871533866,2
Calendar + Oracle Weather Search,M533,h0_w1_integer_ws_dew_point_2m,"('weekend', 'dow', 'dew_point_2m')","('weekend', 'dow', 'dew_point_2m')",6.585768429112612,110.29765814576801,3
