stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Context only Weather Search,M0,h0_w0_none_ws_none,(),(),2.9178234519983546,27.58936094372339,0
Calendar + Context only Weather Search,M1,h0_w0_integer_ws_none,"('dow',)","('dow',)",3.6213962643151993,33.02824559554249,1
Calendar + Context only Weather Search,M2,h0_w0_one_hot_ws_none,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6')",3.0047110394187757,28.28764893382609,7
Calendar + Context only Weather Search,M3,h0_w0_cyclic_ws_none,"('dow_sin', 'dow_cos')","('dow_sin', 'dow_cos')",3.0127754860078864,28.495750080536176,2
Calendar + Context only Weather Search,M4,h0_w1_none_ws_none,"('weekend',)","('weekend',)",2.8175335733699645,26.209894041634286,1
Calendar + Context only Weather Search,M5,h0_w1_integer_ws_none,"('weekend', 'dow')","('weekend', 'dow')",3.0345930689053655,27.999137207238455,2
Calendar + Context only Weather Search,M6,h0_w1_one_hot_ws_none,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6')",2.9333456868045196,27.488260400281085,8
Calendar + Context only Weather Search,M7,h0_w1_cyclic_ws_none,"('weekend', 'dow_sin', 'dow_cos')","('weekend', 'dow_sin', 'dow_cos')",2.9806693965781315,27.620213182355467,3
Calendar + Context only Weather Search,M8,h1_w0_none_ws_none,"('holiday',)","('holiday',)",2.7891320852032986,26.266391315080213,1
Calendar + Context only Weather Search,M9,h1_w0_integer_ws_none,"('holiday', 'dow')","('holiday', 'dow')",3.150098832111967,29.128732408415985,2
Calendar + Context only Weather Search,M10,h1_w0_one_hot_ws_none,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6')",2.9807563069269567,28.06401200958777,8
Calendar + Context only Weather Search,M11,h1_w0_cyclic_ws_none,"('holiday', 'dow_sin', 'dow_cos')","('holiday', 'dow_sin', 'dow_cos')",2.8655423482833733,26.921040852781047,3
Calendar + Context only Weather Search,M12,h1_w1_none_ws_none,"('holiday', 'weekend')","('holiday', 'weekend')",2.661701363574803,24.80122970163151,2
Calendar + Context only Weather Search,M13,h1_w1_integer_ws_none,"('holiday', 'weekend', 'dow')","('holiday', 'weekend', 'dow')",2.8392368321182473,26.274404643081525,3
Calendar + Context only Weather Search,M14,h1_w1_one_hot_ws_none,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6')",2.907775809278687,27.281401180754482,9
Calendar + Context only Weather Search,M15,h1_w1_cyclic_ws_none,"('holiday', 'weekend', 'dow_sin', 'dow_cos')","('holiday', 'weekend', 'dow_sin', 'dow_cos')",2.833655795698996,26.233001393498565,4
Calendar + Context only Weather Search,M16,h0_w0_none_ws_temperature_2m,"('temperature_2m',)","('temperature_2m',)",3.0024131153126357,28.4512357657172,1
Calendar + Context only Weather Search,M17,h0_w0_integer_ws_temperature_2m,"('dow', 'temperature_2m')","('dow', 'temperature_2m')",3.3948478840845806,31.348347288156493,2
Calendar + Context only Weather Search,M18,h0_w0_one_hot_ws_temperature_2m,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",2.9839728703973725,28.09776904117806,8
Calendar + Context only Weather Search,M19,h0_w0_cyclic_ws_temperature_2m,"('dow_sin', 'dow_cos', 'temperature_2m')","('dow_sin', 'dow_cos', 'temperature_2m')",2.9477902106396505,28.185395153464558,3
Calendar + Context only Weather Search,M20,h0_w1_none_ws_temperature_2m,"('weekend', 'temperature_2m')","('weekend', 'temperature_2m')",2.7726945133764396,26.179888641285054,2
Calendar + Context only Weather Search,M21,h0_w1_integer_ws_temperature_2m,"('weekend', 'dow', 'temperature_2m')","('weekend', 'dow', 'temperature_2m')",2.9661236174964927,27.724934746537087,3
Calendar + Context only Weather Search,M22,h0_w1_one_hot_ws_temperature_2m,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",2.948343250526757,27.62730196387341,9
Calendar + Context only Weather Search,M23,h0_w1_cyclic_ws_temperature_2m,"('weekend', 'dow_sin', 'dow_cos', 'temperature_2m')","('weekend', 'dow_sin', 'dow_cos', 'temperature_2m')",2.910932947282349,27.540895418120773,4
Calendar + Context only Weather Search,M24,h1_w0_none_ws_temperature_2m,"('holiday', 'temperature_2m')","('holiday', 'temperature_2m')",2.8646097326965574,27.084441679424067,2
Calendar + Context only Weather Search,M25,h1_w0_integer_ws_temperature_2m,"('holiday', 'dow', 'temperature_2m')","('holiday', 'dow', 'temperature_2m')",3.051875459183348,28.438793600826877,3
Calendar + Context only Weather Search,M26,h1_w0_one_hot_ws_temperature_2m,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",2.936942931541131,27.635748561747278,9
Calendar + Context only Weather Search,M27,h1_w0_cyclic_ws_temperature_2m,"('holiday', 'dow_sin', 'dow_cos', 'temperature_2m')","('holiday', 'dow_sin', 'dow_cos', 'temperature_2m')",2.838632577238442,26.99639748264049,4
Calendar + Context only Weather Search,M28,h1_w1_none_ws_temperature_2m,"('holiday', 'weekend', 'temperature_2m')","('holiday', 'weekend', 'temperature_2m')",2.664861017772049,25.098009960861383,3
Calendar + Context only Weather Search,M29,h1_w1_integer_ws_temperature_2m,"('holiday', 'weekend', 'dow', 'temperature_2m')","('holiday', 'weekend', 'dow', 'temperature_2m')",2.8061141667507457,26.23015487032238,4
Calendar + Context only Weather Search,M30,h1_w1_one_hot_ws_temperature_2m,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",2.8972460649324954,27.149067336736145,10
Calendar + Context only Weather Search,M31,h1_w1_cyclic_ws_temperature_2m,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m')",2.7683578035766407,26.092510359101407,5
Calendar + Context only Weather Search,M32,h0_w0_none_ws_dew_point_2m,"('dew_point_2m',)","('dew_point_2m',)",3.031396824096531,28.698341570028692,1
Calendar + Context only Weather Search,M33,h0_w0_integer_ws_dew_point_2m,"('dow', 'dew_point_2m')","('dow', 'dew_point_2m')",3.3997330080562778,31.349832789432263,2
Calendar + Context only Weather Search,M34,h0_w0_one_hot_ws_dew_point_2m,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')",2.994473920549446,28.198995784234558,8
Calendar + Context only Weather Search,M35,h0_w0_cyclic_ws_dew_point_2m,"('dow_sin', 'dow_cos', 'dew_point_2m')","('dow_sin', 'dow_cos', 'dew_point_2m')",2.9535556653265145,28.183053830230357,3
Calendar + Context only Weather Search,M36,h0_w1_none_ws_dew_point_2m,"('weekend', 'dew_point_2m')","('weekend', 'dew_point_2m')",2.7863184895112068,26.18612379925888,2
Calendar + Context only Weather Search,M37,h0_w1_integer_ws_dew_point_2m,"('weekend', 'dow', 'dew_point_2m')","('weekend', 'dow', 'dew_point_2m')",2.9833790923475347,27.770155227708145,3
Calendar + Context only Weather Search,M38,h0_w1_one_hot_ws_dew_point_2m,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')",2.9551416895717124,27.695931518890987,9
Calendar + Context only Weather Search,M39,h0_w1_cyclic_ws_dew_point_2m,"('weekend', 'dow_sin', 'dow_cos', 'dew_point_2m')","('weekend', 'dow_sin', 'dow_cos', 'dew_point_2m')",2.9052537239494978,27.41425084241766,4
Calendar + Context only Weather Search,M40,h1_w0_none_ws_dew_point_2m,"('holiday', 'dew_point_2m')","('holiday', 'dew_point_2m')",2.895732116769334,27.374255280094918,2
Calendar + Context only Weather Search,M41,h1_w0_integer_ws_dew_point_2m,"('holiday', 'dow', 'dew_point_2m')","('holiday', 'dow', 'dew_point_2m')",3.052004764496504,28.37639171593588,3
Calendar + Context only Weather Search,M42,h1_w0_one_hot_ws_dew_point_2m,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')",2.945391769257577,27.734229887612504,9
Calendar + Context only Weather Search,M43,h1_w0_cyclic_ws_dew_point_2m,"('holiday', 'dow_sin', 'dow_cos', 'dew_point_2m')","('holiday', 'dow_sin', 'dow_cos', 'dew_point_2m')",2.848971073171982,27.07625835266972,4
Calendar + Context only Weather Search,M44,h1_w1_none_ws_dew_point_2m,"('holiday', 'weekend', 'dew_point_2m')","('holiday', 'weekend', 'dew_point_2m')",2.6791374894014455,25.15441100857552,3
Calendar + Context only Weather Search,M45,h1_w1_integer_ws_dew_point_2m,"('holiday', 'weekend', 'dow', 'dew_point_2m')","('holiday', 'weekend', 'dow', 'dew_point_2m')",2.8163635139029233,26.25579582129989,4
Calendar + Context only Weather Search,M46,h1_w1_one_hot_ws_dew_point_2m,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')",2.9016280106048287,27.19097337807117,10
