stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Oracle Weather Search,M512,h0_w0_none_ws_temperature_2m,"('temperature_2m',)","('temperature_2m',)",3.1555517889817217,29.87186398992659,1
Calendar + Oracle Weather Search,M513,h0_w0_integer_ws_temperature_2m,"('dow', 'temperature_2m')","('dow', 'temperature_2m')",3.4367779850247895,31.668958235003956,2
Calendar + Oracle Weather Search,M514,h0_w0_one_hot_ws_temperature_2m,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",2.9547615906582543,27.833210189231878,8
Calendar + Oracle Weather Search,M515,h0_w0_cyclic_ws_temperature_2m,"('dow_sin', 'dow_cos', 'temperature_2m')","('dow_sin', 'dow_cos', 'temperature_2m')",2.9988353965030923,28.627479078631968,3
Calendar + Oracle Weather Search,M516,h0_w1_none_ws_temperature_2m,"('weekend', 'temperature_2m')","('weekend', 'temperature_2m')",2.7623754586609097,25.87372944244537,2
Calendar + Oracle Weather Search,M517,h0_w1_integer_ws_temperature_2m,"('weekend', 'dow', 'temperature_2m')","('weekend', 'dow', 'temperature_2m')",2.9747210217436084,27.669580212085364,3
Calendar + Oracle Weather Search,M518,h0_w1_one_hot_ws_temperature_2m,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",2.87760477769433,27.028982884721852,9
Calendar + Oracle Weather Search,M519,h0_w1_cyclic_ws_temperature_2m,"('weekend', 'dow_sin', 'dow_cos', 'temperature_2m')","('weekend', 'dow_sin', 'dow_cos', 'temperature_2m')",2.868947318005433,26.938772651126108,4
Calendar + Oracle Weather Search,M520,h1_w0_none_ws_temperature_2m,"('holiday', 'temperature_2m')","('holiday', 'temperature_2m')",2.9088916633404223,27.398408355801667,2
Calendar + Oracle Weather Search,M521,h1_w0_integer_ws_temperature_2m,"('holiday', 'dow', 'temperature_2m')","('holiday', 'dow', 'temperature_2m')",3.083396529217992,28.621667636146537,3
