stage,model,configuration,selected_covariates,cumulative_covariates,mean_mape,mean_rmse,num_covariates
Calendar + Oracle Weather Search,M512,h0_w0_none_ws_temperature_2m,"('temperature_2m',)","('temperature_2m',)",3.5627140696483317,51.731941526039186,1
Calendar + Oracle Weather Search,M513,h0_w0_integer_ws_temperature_2m,"('dow', 'temperature_2m')","('dow', 'temperature_2m')",3.7729401126459923,53.830967991131175,2
Calendar + Oracle Weather Search,M514,h0_w0_one_hot_ws_temperature_2m,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",3.706093979978256,53.58216095390403,8
Calendar + Oracle Weather Search,M515,h0_w0_cyclic_ws_temperature_2m,"('dow_sin', 'dow_cos', 'temperature_2m')","('dow_sin', 'dow_cos', 'temperature_2m')",3.8181722388821804,55.59504058035942,3
Calendar + Oracle Weather Search,M516,h0_w1_none_ws_temperature_2m,"('weekend', 'temperature_2m')","('weekend', 'temperature_2m')",3.597657362073435,51.72482038526344,2
Calendar + Oracle Weather Search,M517,h0_w1_integer_ws_temperature_2m,"('weekend', 'dow', 'temperature_2m')","('weekend', 'dow', 'temperature_2m')",3.666432866284161,52.55182955642306,3
Calendar + Oracle Weather Search,M518,h0_w1_one_hot_ws_temperature_2m,"('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",3.662161167318146,52.703467027022896,9
Calendar + Oracle Weather Search,M519,h0_w1_cyclic_ws_temperature_2m,"('weekend', 'dow_sin', 'dow_cos', 'temperature_2m')","('weekend', 'dow_sin', 'dow_cos', 'temperature_2m')",3.720133819792605,53.94432257878783,4
Calendar + Oracle Weather Search,M520,h1_w0_none_ws_temperature_2m,"('holiday', 'temperature_2m')","('holiday', 'temperature_2m')",3.5006319196144693,50.67928458970846,2
Calendar + Oracle Weather Search,M521,h1_w0_integer_ws_temperature_2m,"('holiday', 'dow', 'temperature_2m')","('holiday', 'dow', 'temperature_2m')",3.589394445055062,51.55513534818317,3
Calendar + Oracle Weather Search,M522,h1_w0_one_hot_ws_temperature_2m,"('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('holiday', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",3.690924844277654,53.34385563425899,9
Calendar + Oracle Weather Search,M523,h1_w0_cyclic_ws_temperature_2m,"('holiday', 'dow_sin', 'dow_cos', 'temperature_2m')","('holiday', 'dow_sin', 'dow_cos', 'temperature_2m')",3.681939077725435,53.510116964648866,4
Calendar + Oracle Weather Search,M524,h1_w1_none_ws_temperature_2m,"('holiday', 'weekend', 'temperature_2m')","('holiday', 'weekend', 'temperature_2m')",3.4641533319155835,49.86159872479502,3
Calendar + Oracle Weather Search,M525,h1_w1_integer_ws_temperature_2m,"('holiday', 'weekend', 'dow', 'temperature_2m')","('holiday', 'weekend', 'dow', 'temperature_2m')",3.518507656997665,50.53305712570488,4
Calendar + Oracle Weather Search,M526,h1_w1_one_hot_ws_temperature_2m,"('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')","('holiday', 'weekend', 'dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'temperature_2m')",3.645762125188458,52.451709977311076,10
Calendar + Oracle Weather Search,M527,h1_w1_cyclic_ws_temperature_2m,"('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m')","('holiday', 'weekend', 'dow_sin', 'dow_cos', 'temperature_2m')",3.584085386601059,51.80785781433521,5
Calendar + Oracle Weather Search,M528,h0_w0_none_ws_dew_point_2m,"('dew_point_2m',)","('dew_point_2m',)",3.814680979597074,55.56981975981112,1
Calendar + Oracle Weather Search,M529,h0_w0_integer_ws_dew_point_2m,"('dow', 'dew_point_2m')","('dow', 'dew_point_2m')",3.988267092681949,57.03604688193957,2
Calendar + Oracle Weather Search,M530,h0_w0_one_hot_ws_dew_point_2m,"('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')","('dow_0', 'dow_1', 'dow_2', 'dow_3', 'dow_4', 'dow_5', 'dow_6', 'dew_point_2m')",3.8326986752266983,55.44336853149099,8
